Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Colts,0,0,0,0,0,0,0,0,979,1984
Oilers,0,0,0,0,0,0,0,0,969,1984
Packers,0,0,0,0,0,0,0,0,1009,1984
Lions,0,0,0,0,0,0,0,0,1038,1984
Broncos,0,0,0,0,0,0,0,0,1018,1984
Cowboys,0,0,0,0,0,0,0,0,1121,1984
Browns,0,0,0,0,0,0,0,0,1039,1984
Bengals,0,0,0,0,0,0,0,0,1081,1984
Bears,0,0,0,0,0,0,0,0,1100,1984
Bills,0,0,0,0,0,0,0,0,1046,1984
Falcons,0,0,0,0,0,0,0,0,1034,1984
Redskins,0,0,0,0,0,0,0,0,1135,1985
Buccaneers,0,0,0,0,0,0,0,0,982,1985
Seahawks,0,0,0,0,0,0,0,0,1090,1985
49ers,0,0,0,0,0,0,0,0,1069,1985
Chargers,0,0,0,0,0,0,0,0,1111,1985
Steelers,0,0,0,0,0,0,0,0,1086,1985
Cardinals,0,0,0,0,0,0,0,0,1016,1985
Eagles,0,0,0,0,0,0,0,0,1050,1985
Jets,0,0,0,0,0,0,0,0,1123,1985
Giants,0,0,0,0,0,0,0,0,1130,1985
Saints,0,0,0,0,0,0,0,0,997,1985
Patriots,0,0,0,0,0,0,0,0,1061,1985
Vikings,0,0,0,0,0,0,0,0,1027,1985
Dolphins,0,0,0,0,0,0,0,0,1039,1985
Raiders,0,0,0,0,0,0,0,0,1081,1985
Rams,0,0,0,0,0,0,0,0,963,1985
Chiefs,0,0,0,0,0,0,0,0,982,1985
Colts,0,0,0,0,0,0,0,0,988,1985
Oilers,0,0,0,0,0,0,0,0,998,1985
Packers,0,0,0,0,0,0,0,0,1033,1985
Lions,0,0,0,0,0,0,0,0,967,1985
Broncos,0,0,0,0,0,0,0,0,1152,1985
Cowboys,0,0,0,0,0,0,0,0,1093,1985
Browns,0,0,0,0,0,0,0,0,983,1985
Bengals,0,0,0,0,0,0,0,0,1062,1985
Bears,0,0,0,0,0,0,0,0,1085,1985
Bills,0,0,0,0,0,0,0,0,971,1985
Falcons,0,0,0,0,0,0,0,0,1091,1985
Redskins,0,0,0,0,0,0,0,0,1044,1986
Buccaneers,0,0,0,0,0,0,0,0,970,1986
Seahawks,0,0,0,0,0,0,0,0,1005,1986
49ers,0,0,0,0,0,0,0,0,1118,1986
Chargers,0,0,0,0,0,0,0,0,1107,1986
Steelers,0,0,0,0,0,0,0,0,1075,1986
Cardinals,0,0,0,0,0,0,0,0,994,1986
Eagles,0,0,0,0,0,0,0,0,1117,1986
Jets,0,0,0,0,0,0,0,0,1072,1986
Giants,0,0,0,0,0,0,0,0,1076,1986
Saints,0,0,0,0,0,0,0,0,957,1986
Patriots,0,0,0,0,0,0,0,0,1073,1986
Vikings,0,0,0,0,0,0,0,0,1024,1986
Dolphins,0,0,0,0,0,0,0,0,1011,1986
Raiders,0,0,0,0,0,0,0,0,1069,1986
Rams,0,0,0,0,0,0,0,0,1008,1986
Chiefs,0,0,0,0,0,0,0,0,1003,1986
Colts,0,0,0,0,0,0,0,0,1046,1986
Oilers,0,0,0,0,0,0,0,0,1089,1986
Packers,0,0,0,0,0,0,0,0,1026,1986
Lions,0,0,0,0,0,0,0,0,1009,1986
Broncos,0,0,0,0,0,0,0,0,1042,1986
Cowboys,0,0,0,0,0,0,0,0,1054,1986
Browns,0,0,0,0,0,0,0,0,1047,1986
Bengals,0,0,0,0,0,0,0,0,1046,1986
Bears,0,0,0,0,0,0,0,0,1045,1986
Bills,0,0,0,0,0,0,0,0,963,1986
Falcons,0,0,0,0,0,0,0,0,1086,1986
Redskins,0,0,0,0,0,0,0,0,1005,1987
Buccaneers,0,0,0,0,0,0,0,0,954,1987
Seahawks,0,0,0,0,0,0,0,0,937,1987
49ers,0,0,0,0,0,0,0,0,1054,1987
Chargers,0,0,0,0,0,0,0,0,951,1987
Steelers,0,0,0,0,0,0,0,0,973,1987
Cardinals,0,0,0,0,0,0,0,0,1045,1987
Eagles,0,0,0,0,0,0,0,0,1101,1987
Jets,0,0,0,0,0,0,0,0,1041,1987
Giants,0,0,0,0,0,0,0,0,1000,1987
Saints,0,0,0,0,0,0,0,0,1009,1987
Patriots,0,0,0,0,0,0,0,0,986,1987
Vikings,0,0,0,0,0,0,0,0,980,1987
Dolphins,0,0,0,0,0,0,0,0,1005,1987
Raiders,0,0,0,0,0,0,0,0,985,1987
Rams,0,0,0,0,0,0,0,0,957,1987
Chiefs,0,0,0,0,0,0,0,0,899,1987
Colts,0,0,0,0,0,0,0,0,968,1987
Oilers,0,0,0,0,0,0,0,0,998,1987
Packers,0,0,0,0,0,0,0,0,964,1987
Lions,0,0,0,0,0,0,0,0,933,1987
Broncos,0,0,0,0,0,0,0,0,1070,1987
Cowboys,0,0,0,0,0,0,0,0,1017,1987
Browns,0,0,0,0,0,0,0,0,985,1987
Bengals,0,0,0,0,0,0,0,0,1045,1987
Bears,0,0,0,0,0,0,0,0,1026,1987
Bills,0,0,0,0,0,0,0,0,1018,1987
Falcons,0,0,0,0,0,0,0,0,880,1987
Redskins,0,0,0,0,0,0,0,0,1053,1988
Buccaneers,0,0,0,0,0,0,0,0,998,1988
Seahawks,0,0,0,0,0,0,0,0,983,1988
49ers,0,0,0,0,0,0,0,0,1076,1988
Chargers,0,0,0,0,0,0,0,0,937,1988
Steelers,0,0,0,0,0,0,0,0,1030,1988
Cardinals,0,0,0,0,0,0,0,0,1102,1988
Eagles,0,0,0,0,0,0,0,0,1102,1988
Jets,0,0,0,0,0,0,0,0,1094,1988
Giants,0,0,0,0,0,0,0,0,1078,1988
Saints,0,0,0,0,0,0,0,0,1034,1988
Patriots,0,0,0,0,0,0,0,0,1000,1988
Vikings,0,0,0,0,0,0,0,0,1068,1988
Dolphins,0,0,0,0,0,0,0,0,963,1988
Raiders,0,0,0,0,0,0,0,0,1035,1988
Rams,0,0,0,0,0,0,0,0,1057,1988
Chiefs,0,0,0,0,0,0,0,0,1019,1988
Colts,0,0,0,0,0,0,0,0,982,1988
Oilers,0,0,0,0,0,0,0,0,1010,1988
Packers,0,0,0,0,0,0,0,0,1018,1988
Lions,0,0,0,0,0,0,0,0,920,1988
Broncos,0,0,0,0,0,0,0,0,1077,1988
Cowboys,0,0,0,0,0,0,0,0,1059,1988
Browns,0,0,0,0,0,0,0,0,1013,1988
Bengals,0,0,0,0,0,0,0,0,985,1988
Bears,0,0,0,0,0,0,0,0,1040,1988
Bills,0,0,0,0,0,0,0,0,1012,1988
Falcons,0,0,0,0,0,0,0,0,1002,1988
Redskins,0,0,0,0,0,0,0,0,1116,1989
Buccaneers,0,0,0,0,0,0,0,0,1025,1989
Seahawks,0,0,0,0,0,0,0,0,1010,1989
49ers,0,0,0,0,0,0,0,0,1021,1989
Chargers,0,0,0,0,0,0,0,0,986,1989
Steelers,0,0,0,0,0,0,0,0,955,1989
Cardinals,0,0,0,0,0,0,0,0,986,1989
Eagles,0,0,0,0,0,0,0,0,1123,1989
Jets,0,0,0,0,0,0,0,0,1032,1989
Giants,0,0,0,0,0,0,0,0,1046,1989
Saints,0,0,0,0,0,0,0,0,999,1989
Patriots,0,0,0,0,0,0,0,0,1129,1989
Vikings,0,0,0,0,0,0,0,0,1053,1989
Dolphins,0,0,0,0,0,0,0,0,1011,1989
Raiders,0,0,0,0,0,0,0,0,912,1989
Rams,0,0,0,0,0,0,0,0,1027,1989
Chiefs,0,0,0,0,0,0,0,0,1017,1989
Colts,0,0,0,0,0,0,0,0,979,1989
Oilers,0,0,0,0,0,0,0,0,1028,1989
Packers,0,0,0,0,0,0,0,0,1045,1989
Lions,0,0,0,0,0,0,0,0,928,1989
Broncos,0,0,0,0,0,0,0,0,1071,1989
