Year,Team,W,L,T
1986,Giants,14,2,0
1985,Giants,10,6,0
1984,Giants,9,7,0
1983,Giants,3,12,1
1982,Giants,4,5,0
1981,Giants,9,7,0
1980,Giants,4,12,0
1979,Giants,6,10,0
1978,Giants,6,10,0
1977,Giants,5,9,0
1976,Giants,3,11,0
1975,Giants,5,9,0
1974,Giants,2,12,0
1973,Giants,2,11,1
1972,Giants,8,6,0
1971,Giants,4,10,0
2019,Eagles,9,7,0
2018,Eagles,9,7,0
2017,Eagles,13,3,0
2016,Eagles,7,9,0
2015,Eagles,7,9,0
2014,Eagles,10,6,0
2013,Eagles,10,6,0
2012,Eagles,4,12,0
2011,Eagles,8,8,0
2010,Eagles,10,6,0
2009,Eagles,11,5,0
2008,Eagles,9,6,1
2007,Eagles,8,8,0
2006,Eagles,10,6,0
2005,Eagles,6,10,0
2004,Eagles,13,3,0
2003,Eagles,12,4,0
2002,Eagles,12,4,0
2001,Eagles,11,5,0
2000,Eagles,11,5,0
1999,Eagles,5,11,0
1998,Eagles,3,13,0
1997,Eagles,6,9,1
1996,Eagles,10,6,0
1995,Eagles,10,6,0
1994,Eagles,7,9,0
1993,Eagles,8,8,0
1992,Eagles,11,5,0
1991,Eagles,10,6,0
1990,Eagles,10,6,0
1989,Eagles,11,5,0
1988,Eagles,10,6,0
1987,Eagles,7,8,0
1986,Eagles,5,10,1
1985,Eagles,7,9,0
1984,Eagles,6,9,1
1983,Eagles,5,11,0
1982,Eagles,3,6,0
1981,Eagles,10,6,0
1980,Eagles,12,4,0
1979,Eagles,11,5,0
1978,Eagles,9,7,0
1977,Eagles,5,9,0
1976,Eagles,4,10,0
1975,Eagles,4,10,0
1974,Eagles,7,7,0
1973,Eagles,5,8,1
1972,Eagles,2,11,1
1971,Eagles,6,7,1
2019,Redskins,3,13,0
2018,Redskins,7,9,0
2017,Redskins,7,9,0
2016,Redskins,8,7,1
2015,Redskins,9,7,0
2014,Redskins,4,12,0
2013,Redskins,3,13,0
2012,Redskins,10,6,0
2011,Redskins,5,11,0
2010,Redskins,6,10,0
2009,Redskins,4,12,0
2008,Redskins,8,8,0
2007,Redskins,9,7,0
2006,Redskins,5,11,0
2005,Redskins,10,6,0
2004,Redskins,6,10,0
2003,Redskins,5,11,0
2002,Redskins,7,9,0
2001,Redskins,8,8,0
2000,Redskins,8,8,0
1999,Redskins,10,6,0
1998,Redskins,6,10,0
1997,Redskins,8,7,1
1996,Redskins,9,7,0
1995,Redskins,6,10,0
1994,Redskins,3,13,0
1993,Redskins,4,12,0
1992,Redskins,9,7,0
1991,Redskins,14,2,0
1990,Redskins,10,6,0
1989,Redskins,10,6,0
1988,Redskins,7,9,0
1987,Redskins,11,4,0
1986,Redskins,12,4,0
1985,Redskins,10,6,0
1984,Redskins,11,5,0
1983,Redskins,14,2,0
1982,Redskins,8,1,0
1981,Redskins,8,8,0
1980,Redskins,6,10,0
1979,Redskins,10,6,0
1978,Redskins,8,8,0
1977,Redskins,9,5,0
1976,Redskins,10,4,0
1975,Redskins,8,6,0
1974,Redskins,10,4,0
1973,Redskins,10,4,0
1972,Redskins,11,3,0
1971,Redskins,9,4,1
2019,Saints,13,3,0
2018,Saints,13,3,0
2017,Saints,11,5,0
2016,Saints,7,9,0
2015,Saints,7,9,0
2014,Saints,7,9,0
2013,Saints,11,5,0
2012,Saints,7,9,0
2011,Saints,13,3,0
2010,Saints,11,5,0
2009,Saints,13,3,0
2008,Saints,8,8,0
2007,Saints,7,9,0
2006,Saints,10,6,0
