Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
Cardinals,506,342,67.6,7.1,3262,21,7,96.1,186,36.8,37,5,64T,49,2018
Eagles,626,417,66.6,7.4,4308,22,10,93.4,215,34.3,60,6,75T,44,2018
Jets,582,367,63.1,7.5,4065,29,13,93.1,201,34.5,58,11,70T,39,2018
Giants,560,362,64.6,7.6,4044,24,16,89.8,205,36.6,61,8,79T,30,2018
Saints,573,384,67,8.1,4302,30,12,100.3,224,39.1,57,14,75T,49,2018
Patriots,605,370,61.2,6.9,3943,29,18,85.4,208,34.4,57,9,75T,30,2018
Vikings,503,315,62.6,7,3140,15,12,83.3,160,31.8,43,10,70T,50,2018
Dolphins,508,335,65.9,8.2,3932,31,21,94.1,195,38.4,59,11,73T,31,2018
Raiders,480,299,62.3,8.2,3853,36,14,101,178,37.1,59,15,89T,13,2018
Rams,533,347,65.1,7.7,3780,31,18,93.8,185,34.7,59,14,73T,41,2018
Chiefs,632,406,64.2,7.5,4374,30,15,92.7,247,39.1,65,8,49,52,2018
Jaguars,499,312,62.5,6.7,3113,17,11,84.4,162,32.5,37,6,78T,37,2018
Colts,542,384,70.8,7.4,3805,21,15,93.5,203,37.5,41,4,80T,38,2018
Texans,594,385,64.8,7.5,4167,28,15,92.7,200,33.7,55,13,83T,43,2018
Titans,533,337,63.2,7,3471,21,11,88.4,182,34.1,48,7,75T,39,2018
Packers,527,336,63.8,7.7,3752,30,7,100.9,199,37.8,54,7,75T,44,2018
Lions,496,323,65.1,7.9,3599,29,7,102.7,191,38.5,50,10,82,43,2018
Broncos,549,353,64.3,7.7,3929,26,17,90.7,197,35.9,56,9,97T,44,2018
Cowboys,542,367,67.7,7.4,3755,22,9,95.7,193,35.6,43,7,53T,39,2018
