Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year,INT,INT TD,INT Yds,Lng
Giants,0,0,0,0,0,1983,23,1,210,30T
Saints,0,0,0,0,0,1983,23,3,412,70T
Patriots,0,0,0,0,0,1983,17,1,202,46
Vikings,0,0,0,0,0,1983,25,0,168,31
Dolphins,0,0,0,0,0,1983,26,3,345,45
Raiders,0,0,0,0,0,1983,20,2,238,40T
Rams,0,0,0,0,0,1983,24,3,515,60T
Chiefs,0,0,0,0,0,1983,30,2,482,58T
Colts,0,0,0,0,0,1983,20,1,314,71T
Oilers,0,0,0,0,0,1983,14,0,135,44
Packers,0,0,0,0,0,1983,19,1,227,46
Lions,0,0,0,0,0,1983,22,0,185,70
Broncos,0,0,0,0,0,1983,27,0,355,48
Cowboys,0,0,0,0,0,1983,27,2,467,68T
Browns,0,0,0,0,0,1983,22,2,296,65T
Bengals,0,0,0,0,0,1983,23,4,369,55T
Bears,0,0,0,0,0,1983,21,2,215,56
Bills,0,0,0,0,0,1983,13,1,154,29
Falcons,0,0,0,0,0,1983,15,2,212,38
Redskins,0,0,0,0,0,1984,21,4,391,50
Buccaneers,0,0,0,0,0,1984,18,1,308,38
Seahawks,0,0,0,0,0,1984,38,7,697,90T
49ers,0,0,0,0,0,1984,25,2,345,54T
Chargers,0,0,0,0,0,1984,19,4,499,99T
Steelers,0,0,0,0,0,1984,31,4,433,69T
Cardinals,0,0,0,0,0,1984,21,1,163,25T
Eagles,0,0,0,0,0,1984,20,0,287,33
Jets,0,0,0,0,0,1984,15,0,152,28
Giants,0,0,0,0,0,1984,19,0,182,29
Saints,0,0,0,0,0,1984,13,3,213,47T
Patriots,0,0,0,0,0,1984,17,0,210,85
Vikings,0,0,0,0,0,1984,11,1,120,53T
Dolphins,0,0,0,0,0,1984,24,2,478,86T
Raiders,0,0,0,0,0,1984,20,2,339,97T
Rams,0,0,0,0,0,1984,17,3,399,81T
Chiefs,0,0,0,0,0,1984,30,2,465,71T
Colts,0,0,0,0,0,1984,18,1,190,59T
Oilers,0,0,0,0,0,1984,13,0,139,26
Packers,0,0,0,0,0,1984,27,2,338,99T
Lions,0,0,0,0,0,1984,14,0,87,36
Broncos,0,0,0,0,0,1984,31,4,510,63
Cowboys,0,0,0,0,0,1984,28,2,297,43
Browns,0,0,0,0,0,1984,20,0,236,47
Bengals,0,0,0,0,0,1984,25,4,368,70
Bears,0,0,0,0,0,1984,21,1,290,61
Bills,0,0,0,0,0,1984,16,0,233,55
Falcons,0,0,0,0,0,1984,12,1,147,35T
Redskins,0,0,0,0,0,1985,23,0,220,36
Buccaneers,0,0,0,0,0,1985,18,0,146,25
Seahawks,0,0,0,0,0,1985,24,3,272,75T
49ers,0,0,0,0,0,1985,18,1,310,82
Chargers,0,0,0,0,0,1985,26,2,461,75T
Steelers,0,0,0,0,0,1985,20,1,211,35T
Cardinals,0,0,0,0,0,1985,13,1,240,67
Eagles,0,0,0,0,0,1985,18,2,125,26
Jets,0,0,0,0,0,1985,22,1,127,24
Giants,0,0,0,0,0,1985,24,2,339,56T
Saints,0,0,0,0,0,1985,21,2,312,53
Patriots,0,0,0,0,0,1985,23,1,427,83
Vikings,0,0,0,0,0,1985,22,1,283,63
Dolphins,0,0,0,0,0,1985,23,1,265,61T
Raiders,0,0,0,0,0,1985,17,3,235,76T
Rams,0,0,0,0,0,1985,29,4,359,46
Chiefs,0,0,0,0,0,1985,27,1,298,47T
Colts,0,0,0,0,0,1985,16,0,75,29
Oilers,0,0,0,0,0,1985,15,0,144,55
Packers,0,0,0,0,0,1985,15,2,262,80T
Lions,0,0,0,0,0,1985,18,0,136,22
Broncos,0,0,0,0,0,1985,24,1,290,42T
Cowboys,0,0,0,0,0,1985,33,4,263,65T
Browns,0,0,0,0,0,1985,18,1,254,40
Bengals,0,0,0,0,0,1985,19,2,283,57T
Bears,0,0,0,0,0,1985,34,4,512,90
Bills,0,0,0,0,0,1985,20,0,225,41
Falcons,0,0,0,0,0,1985,22,1,247,47
Redskins,0,0,0,0,0,1986,19,0,126,31
Buccaneers,0,0,0,0,0,1986,13,0,128,57
Seahawks,0,0,0,0,0,1986,22,1,216,25
49ers,0,0,0,0,0,1986,39,5,578,88T
Chargers,0,0,0,0,0,1986,15,1,274,50
Steelers,0,0,0,0,0,1986,20,1,218,67T
Cardinals,0,0,0,0,0,1986,10,0,121,35
Eagles,0,0,0,0,0,1986,23,0,124,21
Jets,0,0,0,0,0,1986,20,0,164,29
Giants,0,0,0,0,0,1986,24,1,296,78T
Saints,0,0,0,0,0,1986,26,1,235,43
Patriots,0,0,0,0,0,1986,21,1,312,69
Vikings,0,0,0,0,0,1986,24,2,319,59T
Dolphins,0,0,0,0,0,1986,13,0,152,36
Raiders,0,0,0,0,0,1986,26,1,275,32T
Rams,0,0,0,0,0,1986,28,3,458,80T
Chiefs,0,0,0,0,0,1986,31,4,567,72T
Colts,0,0,0,0,0,1986,16,0,166,80
Oilers,0,0,0,0,0,1986,16,0,100,38
Packers,0,0,0,0,0,1986,20,1,147,58T
Lions,0,0,0,0,0,1986,22,0,190,36
Broncos,0,0,0,0,0,1986,18,2,318,56
Cowboys,0,0,0,0,0,1986,17,1,183,34T
Browns,0,0,0,0,0,1986,18,0,184,33
Bengals,0,0,0,0,0,1986,17,1,146,36T
Bears,0,0,0,0,0,1986,31,1,370,58T
