Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Colts,0,0,0,0,0,0,0,0,1080,1980
Oilers,0,0,0,0,0,0,0,0,932,1980
Packers,0,0,0,0,0,0,0,0,1059,1980
Lions,0,0,0,0,0,0,0,0,955,1980
Broncos,0,0,0,0,0,0,0,0,1041,1980
Cowboys,0,0,0,0,0,0,0,0,996,1980
Browns,0,0,0,0,0,0,0,0,1053,1980
Bengals,0,0,0,0,0,0,0,0,995,1980
Bears,0,0,0,0,0,0,0,0,1003,1980
Bills,0,0,0,0,0,0,0,0,952,1980
Falcons,0,0,0,0,0,0,0,0,1051,1980
Redskins,0,0,0,0,0,0,0,0,1016,1981
Buccaneers,0,0,0,0,0,0,0,0,1115,1981
Seahawks,0,0,0,0,0,0,0,0,1126,1981
49ers,0,0,0,0,0,0,0,0,1014,1981
Chargers,0,0,0,0,0,0,0,0,1109,1981
Steelers,0,0,0,0,0,0,0,0,1084,1981
Cardinals,0,0,0,0,0,0,0,0,1036,1981
Eagles,0,0,0,0,0,0,0,0,1023,1981
Jets,0,0,0,0,0,0,0,0,1036,1981
Giants,0,0,0,0,0,0,0,0,1141,1981
Saints,0,0,0,0,0,0,0,0,1002,1981
Patriots,0,0,0,0,0,0,0,0,1103,1981
Vikings,0,0,0,0,0,0,0,0,1054,1981
Dolphins,0,0,0,0,0,0,0,0,1039,1981
Raiders,0,0,0,0,0,0,0,0,1113,1981
Rams,0,0,0,0,0,0,0,0,1067,1981
Chiefs,0,0,0,0,0,0,0,0,1101,1981
Colts,0,0,0,0,0,0,0,0,1111,1981
Oilers,0,0,0,0,0,0,0,0,1084,1981
Packers,0,0,0,0,0,0,0,0,1087,1981
Lions,0,0,0,0,0,0,0,0,991,1981
Broncos,0,0,0,0,0,0,0,0,1000,1981
Cowboys,0,0,0,0,0,0,0,0,1021,1981
Browns,0,0,0,0,0,0,0,0,1014,1981
Bengals,0,0,0,0,0,0,0,0,1055,1981
Bears,0,0,0,0,0,0,0,0,1077,1981
Bills,0,0,0,0,0,0,0,0,1037,1981
Falcons,0,0,0,0,0,0,0,0,1053,1981
Redskins,0,0,0,0,0,0,0,0,554,1982
Buccaneers,0,0,0,0,0,0,0,0,564,1982
Seahawks,0,0,0,0,0,0,0,0,600,1982
49ers,0,0,0,0,0,0,0,0,596,1982
Chargers,0,0,0,0,0,0,0,0,591,1982
Steelers,0,0,0,0,0,0,0,0,599,1982
Cardinals,0,0,0,0,0,0,0,0,570,1982
Eagles,0,0,0,0,0,0,0,0,614,1982
Jets,0,0,0,0,0,0,0,0,587,1982
Giants,0,0,0,0,0,0,0,0,576,1982
Saints,0,0,0,0,0,0,0,0,531,1982
Patriots,0,0,0,0,0,0,0,0,602,1982
Vikings,0,0,0,0,0,0,0,0,582,1982
Dolphins,0,0,0,0,0,0,0,0,548,1982
Raiders,0,0,0,0,0,0,0,0,647,1982
Rams,0,0,0,0,0,0,0,0,606,1982
Chiefs,0,0,0,0,0,0,0,0,557,1982
Colts,0,0,0,0,0,0,0,0,605,1982
Oilers,0,0,0,0,0,0,0,0,613,1982
Packers,0,0,0,0,0,0,0,0,622,1982
Lions,0,0,0,0,0,0,0,0,591,1982
Broncos,0,0,0,0,0,0,0,0,616,1982
Cowboys,0,0,0,0,0,0,0,0,581,1982
Browns,0,0,0,0,0,0,0,0,594,1982
Bengals,0,0,0,0,0,0,0,0,551,1982
Bears,0,0,0,0,0,0,0,0,585,1982
Bills,0,0,0,0,0,0,0,0,536,1982
Falcons,0,0,0,0,0,0,0,0,551,1982
Redskins,0,0,0,0,0,0,0,0,970,1983
Buccaneers,0,0,0,0,0,0,0,0,1093,1983
Seahawks,0,0,0,0,0,0,0,0,1075,1983
49ers,0,0,0,0,0,0,0,0,1032,1983
Chargers,0,0,0,0,0,0,0,0,1127,1983
Steelers,0,0,0,0,0,0,0,0,1006,1983
Cardinals,0,0,0,0,0,0,0,0,1021,1983
Eagles,0,0,0,0,0,0,0,0,1099,1983
Jets,0,0,0,0,0,0,0,0,1058,1983
Giants,0,0,0,0,0,0,0,0,1039,1983
Saints,0,0,0,0,0,0,0,0,1024,1983
Patriots,0,0,0,0,0,0,0,0,1102,1983
Vikings,0,0,0,0,0,0,0,0,1104,1983
Dolphins,0,0,0,0,0,0,0,0,989,1983
Raiders,0,0,0,0,0,0,0,0,1024,1983
Rams,0,0,0,0,0,0,0,0,1078,1983
Chiefs,0,0,0,0,0,0,0,0,1089,1983
Colts,0,0,0,0,0,0,0,0,1045,1983
Oilers,0,0,0,0,0,0,0,0,1031,1983
Packers,0,0,0,0,0,0,0,0,1156,1983
Lions,0,0,0,0,0,0,0,0,1061,1983
Broncos,0,0,0,0,0,0,0,0,1099,1983
Cowboys,0,0,0,0,0,0,0,0,1025,1983
Browns,0,0,0,0,0,0,0,0,1029,1983
