Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Raiders,330,4019,12.2,24,55,11,63,176,53.3,5,2004
Rams,372,4615,12.4,23,67,8,75T,203,54.6,14,2004
Chiefs,370,4633,12.5,27,60,10,70T,228,61.6,2,2004
Jaguars,305,3315,10.9,17,35,7,65,161,52.8,7,2004
Colts,353,4732,13.4,51,69,14,80T,238,67.4,4,2004
Texans,286,3547,12.4,16,47,6,69,174,60.8,4,2004
Titans,356,3933,11,27,46,5,48T,200,56.2,5,2004
Packers,382,4550,11.9,36,58,13,79T,228,59.7,5,2004
Lions,285,3124,11,19,43,4,62,142,49.8,2,2004
Broncos,303,4089,13.5,27,55,9,85T,184,60.7,4,2004
Cowboys,308,3636,11.8,19,48,4,53,171,55.5,5,2004
Browns,251,3076,12.3,21,36,14,99T,125,49.8,2,2004
Bengals,324,3520,10.9,23,42,8,76T,172,53.1,2,2004
Bears,249,2641,10.6,9,33,5,63,121,48.6,3,2004
Panthers,311,3889,12.5,29,60,8,63,192,61.7,3,2004
Bills,262,3032,11.6,21,33,9,69T,149,56.9,4,2004
Redskins,278,3346,12,25,40,11,78T,166,59.7,5,2005
Buccaneers,303,3171,10.5,17,34,6,80T,161,53.1,2,2005
Seahawks,307,3632,11.8,25,44,8,56,192,62.5,3,2005
49ers,204,2190,10.7,8,27,4,89T,96,47.1,4,2005
Chargers,338,3738,11.1,27,48,4,54,191,56.5,3,2005
Steelers,228,3104,13.6,21,44,14,85T,144,63.2,3,2005
Cardinals,419,4723,11.3,21,63,12,63,224,53.5,3,2005
Eagles,337,3903,11.6,21,49,8,91T,182,54,4,2005
Jets,268,2989,11.2,11,34,5,60T,146,54.5,4,2005
Giants,294,3762,12.8,24,49,8,78T,172,58.5,3,2005
Saints,308,3604,11.7,15,47,5,66,182,59.1,4,2005
Patriots,352,4322,12.3,28,62,9,71,204,58,4,2005
Vikings,323,3449,10.7,18,31,8,80T,169,52.3,2,2005
Dolphins,291,3458,11.9,22,44,11,77T,159,54.6,5,2005
Raiders,316,3883,12.3,21,50,6,79,189,59.8,3,2005
Rams,392,4351,11.1,23,41,8,83T,209,53.3,6,2005
Chiefs,317,4014,12.7,17,51,11,60T,182,57.4,3,2005
Jaguars,283,3352,11.8,21,43,5,45T,170,60.1,8,2005
Colts,347,4191,12.1,31,49,7,80T,217,62.5,1,2005
Texans,270,2661,9.9,15,21,2,53T,142,52.6,0,2005
Titans,358,3797,10.6,20,34,8,57,191,53.4,4,2005
Packers,383,3964,10.3,20,40,7,59,206,53.8,3,2005
