Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Colts,307,3314,10.8,22,38,3,50,165,53.7,5,2019
Texans,355,4083,11.5,27,51,10,54,203,57.2,2,2019
Titans,297,3956,13.3,29,58,15,91T,177,59.6,4,2019
Packers,356,4017,11.3,26,52,12,74T,190,53.4,6,2019
Lions,344,4187,12.2,28,60,13,75T,196,57,2,2019
Broncos,312,3401,10.9,16,46,10,75T,162,51.9,4,2019
Cowboys,388,4902,12.6,30,68,16,62,229,59,4,2019
Browns,318,3847,12.1,22,58,9,89T,180,56.6,2,2019
Bengals,356,3994,11.2,18,48,7,66T,191,53.7,7,2019
Bears,371,3573,9.6,20,39,2,53,178,48,1,2019
Panthers,382,4134,10.8,17,40,7,52T,230,60.2,2,2019
Bills,299,3476,11.6,21,54,8,53T,162,54.2,0,2019
Ravens,289,3350,11.6,37,44,8,83T,171,59.2,2,2019
Falcons,459,5049,11,29,52,5,93T,258,56.2,3,2019
