Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,Sck,SckY,Year,Att_Rush,Rush Yds,YPC,Rush_TD,Rush 1st,Rush 1st%,Rush FUM,Yds/Rec,Rec_TD,Rec FUM,Scrm Plys,3rd_Conv%,4th Conv%,W,L,T,Win pct
Giants,575,284,49.4,6.7,3854,12,31,55.7,0,0.0,49,363,1983,506,1794,3.5,9,0,0.0,0,13.6,12,0,1130,,,3,12,1,0.21875
Saints,425,243,57.2,6.5,2782,14,25,63.5,0,0.0,35,305,1983,595,2461,4.1,19,0,0.0,0,11.4,14,0,1055,,,8,8,0,0.5
Patriots,412,220,53.4,7.4,3040,16,18,72.1,0,0.0,45,334,1983,538,2605,4.8,19,0,0.0,0,13.8,16,0,995,,,8,8,0,0.5
Vikings,555,310,55.9,6.3,3514,15,22,67.5,0,0.0,43,303,1983,470,1808,3.8,17,0,0.0,0,11.3,15,0,1068,,,8,8,0,0.5
Dolphins,442,254,57.5,7.3,3235,28,11,91.2,0,0.0,23,190,1983,568,2150,3.8,16,0,0.0,0,12.7,28,0,1033,,,12,4,0,0.75
Raiders,504,301,59.7,7.8,3910,31,24,84.8,0,0.0,55,464,1983,542,2240,4.1,18,0,0.0,0,13.0,31,0,1101,,,12,4,0,0.75
Rams,489,286,58.5,7.0,3411,23,23,76.0,0,0.0,23,190,1983,511,2253,4.4,20,0,0.0,0,11.9,23,0,1023,,,9,7,0,0.5625
Chiefs,641,369,57.6,7.3,4684,29,19,83.2,0,0.0,46,343,1983,387,1254,3.2,13,0,0.0,0,12.7,29,0,1074,,,6,10,0,0.375
Colts,377,188,49.9,7.1,2663,12,22,59.4,0,0.0,47,340,1983,601,2695,4.5,10,0,0.0,0,14.2,12,0,1025,,,7,9,0,0.4375
Oilers,482,260,53.9,6.8,3286,16,29,61.4,0,0.0,49,384,1983,502,1998,4.0,16,0,0.0,0,12.6,16,0,1033,,,2,14,0,0.125
Packers,526,311,59.1,8.9,4688,33,32,84.1,0,0.0,42,323,1983,439,1807,4.1,15,0,0.0,0,15.1,33,0,1007,,,8,8,0,0.5
Lions,503,263,52.3,6.6,3297,19,23,66.5,0,0.0,45,342,1983,513,2181,4.3,18,0,0.0,0,12.5,19,0,1061,,,9,7,0,0.5625
Broncos,499,254,50.9,6.9,3466,17,22,66.4,0,0.0,55,439,1983,471,1784,3.8,15,0,0.0,0,13.6,17,0,1025,,,9,7,0,0.5625
Cowboys,554,346,62.5,7.5,4156,31,25,85.2,0,0.0,37,314,1983,519,2117,4.1,21,0,0.0,0,12.0,31,0,1110,,,12,4,0,0.75
Browns,567,324,57.1,6.9,3932,27,28,73.9,0,0.0,33,271,1983,465,1922,4.1,13,0,0.0,0,12.1,27,0,1065,,,9,7,0,0.5625
Bengals,454,290,63.9,7.7,3492,14,18,81.1,0,0.0,40,309,1983,542,2104,3.9,24,0,0.0,0,12.0,14,0,1036,,,7,9,0,0.4375
Bears,447,255,57.0,7.7,3461,21,22,77.0,0,0.0,53,358,1983,583,2727,4.7,14,0,0.0,0,13.6,21,0,1083,,,8,8,0,0.5
Bills,571,317,55.5,6.0,3438,30,28,70.5,0,0.0,37,351,1983,415,1736,4.2,4,0,0.0,0,10.8,30,0,1023,,,8,8,0,0.5
Falcons,507,321,63.3,7.5,3793,24,10,93.6,0,0.0,55,389,1983,492,2224,4.5,17,0,0.0,0,11.8,24,0,1054,,,7,9,0,0.4375
Redskins,485,286,59.0,7.0,3417,24,13,85.9,0,0.0,48,341,1984,588,2274,3.9,20,0,0.0,0,11.9,24,0,1121,,,11,5,0,0.6875
Buccaneers,563,334,59.3,6.9,3907,22,23,76.4,0,0.0,45,362,1984,483,1776,3.7,17,0,0.0,0,11.7,22,0,1091,,,6,10,0,0.375
Seahawks,497,283,56.9,7.5,3751,32,26,80.6,0,0.0,42,328,1984,495,1645,3.3,10,0,0.0,0,13.3,32,0,1034,,,12,4,0,0.75
49ers,496,312,62.9,8.2,4079,32,10,101.9,0,0.0,27,178,1984,534,2465,4.6,21,0,0.0,0,13.1,32,0,1057,,,15,1,0,0.9375
